,level_0,index,AISC_Manual_Label.1,AISC_Manual_Label,A.1,d.1,W.1,rx.1,ry.1,Sx.1,Sy.1,bf.1,tf.1,tw.1,Ix.1,Iy.1
0,118,118,W610X92,W24X62,11700,602,92.0,234.0,35.1,2150000.0,161000.0,179,15,10.9,645000000.0,14400000.0
1,135,135,W530X92,W21X62,11800,533,92.0,217.0,45.0,2080000.0,229000.0,209,15.6,10.2,554000000.0,23900000.0
2,134,134,W530X101,W21X68,12900,536,101.0,218.0,45.7,2290000.0,257000.0,210,17.4,10.9,616000000.0,26900000.0
3,117,117,W610X101,W24X68,13000,602,101.0,243.0,47.5,2520000.0,257000.0,228,14.9,10.5,762000000.0,29300000.0
4,156,156,W460X106,W18X71,13500,470,106.0,191.0,43.2,2080000.0,259000.0,194,20.6,12.6,487000000.0,25100000.0
5,133,133,W530X109,W21X73,13900,538,109.0,219.0,46.0,2470000.0,279000.0,211,18.8,11.6,666000000.0,29400000.0
6,155,155,W460X113,W18X76,14400,462,113.0,196.0,66.3,2390000.0,452000.0,279,17.3,10.8,554000000.0,63300000.0
7,116,116,W610X113,W24X76,14500,607,113.0,246.0,48.8,2880000.0,302000.0,228,17.3,11.2,874000000.0,34300000.0
8,166,166,W410X114,W16X77,14600,419,114.0,178.0,62.7,2200000.0,441000.0,262,19.3,11.6,462000000.0,57400000.0
9,201,201,W360X122,W14X82,15500,363,122.0,154.0,63.0,2020000.0,480000.0,257,21.7,13,367000000.0,61600000.0
10,132,132,W530X123,W21X83,15700,544,123.0,220.0,46.5,2800000.0,320000.0,212,21.2,13.1,762000000.0,33900000.0
11,115,115,W610X125,W24X84,15900,612,125.0,249.0,49.5,3210000.0,342000.0,229,19.6,11.9,986000000.0,39300000.0
12,98,98,W690X125,W27X84,15900,678,125.0,272.0,52.6,3490000.0,347000.0,254,16.3,11.7,1190000000.0,44100000.0
13,154,154,W460X128,W18X86,16300,467,128.0,197.0,66.8,2720000.0,518000.0,282,19.6,12.2,637000000.0,72800000.0
14,165,165,W410X132,W16X89,16900,427,132.0,179.0,63.2,2540000.0,515000.0,264,22.2,13.3,541000000.0,67800000.0
15,81,81,W760X134,W30X90,17000,749,134.0,297.0,53.1,4010000.0,362000.0,264,15.5,11.9,1500000000.0,47900000.0
16,200,200,W360X134,W14X90,17100,356,134.0,156.0,94.0,2340000.0,818000.0,368,18,11.2,416000000.0,151000000.0
17,131,131,W530X138,W21X93,17600,549,138.0,221.0,46.7,3150000.0,362000.0,214,23.6,14.7,862000000.0,38700000.0
18,97,97,W690X140,W27X94,17800,683,140.0,277.0,53.8,3980000.0,406000.0,254,18.9,12.4,1360000000.0,51600000.0
19,114,114,W610X140,W24X94,17900,617,140.0,251.0,50.3,3640000.0,393000.0,230,22.2,13.1,1120000000.0,45400000.0
20,225,225,W310X143,W12X96,18200,323,143.0,138.0,78.5,2150000.0,728000.0,310,22.9,14,347000000.0,112000000.0
21,153,153,W460X144,W18X97,18400,472,144.0,199.0,67.3,3080000.0,592000.0,282,22.1,13.6,728000000.0,83700000.0
22,80,80,W760X147,W30X99,18700,754,147.0,297.0,53.3,4410000.0,401000.0,267,17,13.2,1660000000.0,53300000.0
23,199,199,W360X147,W14X99,18800,361,147.0,157.0,94.2,2570000.0,905000.0,371,19.8,12.3,462000000.0,167000000.0
24,164,164,W410X149,W16X100,19000,432,149.0,180.0,63.8,2870000.0,585000.0,264,25,14.9,620000000.0,77400000.0
25,130,130,W530X150,W21X101,19200,544,150.0,229.0,73.4,3720000.0,660000.0,312,20.3,12.7,1010000000.0,103000000.0
26,96,96,W690X152,W27X102,19400,688,152.0,279.0,54.6,4380000.0,456000.0,254,21.1,13.1,1510000000.0,57900000.0
27,113,113,W610X153,W24X103,19500,622,153.0,254.0,50.5,4010000.0,434000.0,229,24.9,14,1250000000.0,49500000.0
28,112,112,W610X155,W24X104,19800,612,155.0,257.0,73.9,4230000.0,667000.0,325,19.1,12.7,1290000000.0,108000000.0
29,152,152,W460X158,W18X106,20100,475,158.0,199.0,67.6,3340000.0,646000.0,284,23.9,15,795000000.0,91600000.0
30,224,224,W310X158,W12X106,20100,328,158.0,139.0,79.0,2380000.0,808000.0,310,25.1,15.5,388000000.0,125000000.0
31,79,79,W760X161,W30X108,20500,757,161.0,302.0,54.6,4900000.0,457000.0,267,19.3,13.8,1860000000.0,60800000.0
32,198,198,W360X162,W14X109,20600,363,162.0,158.0,94.7,2830000.0,1000000.0,371,21.8,13.3,516000000.0,186000000.0
33,129,129,W530X165,W21X111,21000,546,165.0,230.0,73.7,4080000.0,729000.0,312,22.2,14,1110000000.0,114000000.0
34,242,242,W250X167,W10X112,21200,290,167.0,118.0,68.1,2060000.0,742000.0,264,31.8,19.2,298000000.0,98200000.0
