AISC_Manual_Label,Unnamed: 0,level_0,index,AISC_Manual_Label.1,A.1,d.1,W.1,rx.1,ry.1,Sx.1,Sy.1,bf.1,tf.1,tw.1,Ix.1,Iy.1
W14X82,0,201,201,W360X122,15500.000 mm²,363.000 mm,122.0,154.0,63.0,2020000.000 mm³,480000.000 mm³,257.000 mm,21.700 mm,13.000 mm,367000000.000 mm⁴,61600000.000 mm⁴
W10X112,1,242,242,W250X167,21200.000 mm²,290.000 mm,167.0,118.0,68.1,2060000.000 mm³,742000.000 mm³,264.000 mm,31.800 mm,19.200 mm,298000000.000 mm⁴,98200000.000 mm⁴
W21X62,2,135,135,W530X92,11800.000 mm²,533.000 mm,92.0,217.0,45.0,2080000.000 mm³,229000.000 mm³,209.000 mm,15.600 mm,10.200 mm,554000000.000 mm⁴,23900000.000 mm⁴
W18X71,3,156,156,W460X106,13500.000 mm²,470.000 mm,106.0,191.0,43.2,2080000.000 mm³,259000.000 mm³,194.000 mm,20.600 mm,12.600 mm,487000000.000 mm⁴,25100000.000 mm⁴
W24X62,4,118,118,W610X92,11700.000 mm²,602.000 mm,92.0,234.0,35.1,2150000.000 mm³,161000.000 mm³,179.000 mm,15.000 mm,10.900 mm,645000000.000 mm⁴,14400000.000 mm⁴
W12X96,5,225,225,W310X143,18200.000 mm²,323.000 mm,143.0,138.0,78.5,2150000.000 mm³,728000.000 mm³,310.000 mm,22.900 mm,14.000 mm,347000000.000 mm⁴,112000000.000 mm⁴
W16X77,6,166,166,W410X114,14600.000 mm²,419.000 mm,114.0,178.0,62.7,2200000.000 mm³,441000.000 mm³,262.000 mm,19.300 mm,11.600 mm,462000000.000 mm⁴,57400000.000 mm⁴
W21X68,7,134,134,W530X101,12900.000 mm²,536.000 mm,101.0,218.0,45.7,2290000.000 mm³,257000.000 mm³,210.000 mm,17.400 mm,10.900 mm,616000000.000 mm⁴,26900000.000 mm⁴
W14X90,8,200,200,W360X134,17100.000 mm²,356.000 mm,134.0,156.0,94.0,2340000.000 mm³,818000.000 mm³,368.000 mm,18.000 mm,11.200 mm,416000000.000 mm⁴,151000000.000 mm⁴
W12X106,9,224,224,W310X158,20100.000 mm²,328.000 mm,158.0,139.0,79.0,2380000.000 mm³,808000.000 mm³,310.000 mm,25.100 mm,15.500 mm,388000000.000 mm⁴,125000000.000 mm⁴
W18X76,10,155,155,W460X113,14400.000 mm²,462.000 mm,113.0,196.0,66.3,2390000.000 mm³,452000.000 mm³,279.000 mm,17.300 mm,10.800 mm,554000000.000 mm⁴,63300000.000 mm⁴
W21X73,11,133,133,W530X109,13900.000 mm²,538.000 mm,109.0,219.0,46.0,2470000.000 mm³,279000.000 mm³,211.000 mm,18.800 mm,11.600 mm,666000000.000 mm⁴,29400000.000 mm⁴
W24X68,12,117,117,W610X101,13000.000 mm²,602.000 mm,101.0,243.0,47.5,2520000.000 mm³,257000.000 mm³,228.000 mm,14.900 mm,10.500 mm,762000000.000 mm⁴,29300000.000 mm⁴
W16X89,13,165,165,W410X132,16900.000 mm²,427.000 mm,132.0,179.0,63.2,2540000.000 mm³,515000.000 mm³,264.000 mm,22.200 mm,13.300 mm,541000000.000 mm⁴,67800000.000 mm⁴
W14X99,14,199,199,W360X147,18800.000 mm²,361.000 mm,147.0,157.0,94.2,2570000.000 mm³,905000.000 mm³,371.000 mm,19.800 mm,12.300 mm,462000000.000 mm⁴,167000000.000 mm⁴
W12X120,15,223,223,W310X179,22700.000 mm²,333.000 mm,179.0,140.0,79.5,2670000.000 mm³,918000.000 mm³,312.000 mm,28.200 mm,18.000 mm,445000000.000 mm⁴,144000000.000 mm⁴
W18X86,16,154,154,W460X128,16300.000 mm²,467.000 mm,128.0,197.0,66.8,2720000.000 mm³,518000.000 mm³,282.000 mm,19.600 mm,12.200 mm,637000000.000 mm⁴,72800000.000 mm⁴
W21X83,17,132,132,W530X123,15700.000 mm²,544.000 mm,123.0,220.0,46.5,2800000.000 mm³,320000.000 mm³,212.000 mm,21.200 mm,13.100 mm,762000000.000 mm⁴,33900000.000 mm⁴
W14X109,18,198,198,W360X162,20600.000 mm²,363.000 mm,162.0,158.0,94.7,2830000.000 mm³,1000000.000 mm³,371.000 mm,21.800 mm,13.300 mm,516000000.000 mm⁴,186000000.000 mm⁴
W16X100,19,164,164,W410X149,19000.000 mm²,432.000 mm,149.0,180.0,63.8,2870000.000 mm³,585000.000 mm³,264.000 mm,25.000 mm,14.900 mm,620000000.000 mm⁴,77400000.000 mm⁴
W24X76,20,116,116,W610X113,14500.000 mm²,607.000 mm,113.0,246.0,48.8,2880000.000 mm³,302000.000 mm³,228.000 mm,17.300 mm,11.200 mm,874000000.000 mm⁴,34300000.000 mm⁴
W12X136,21,222,222,W310X202,25700.000 mm²,340.000 mm,202.0,142.0,80.3,3050000.000 mm³,1050000.000 mm³,315.000 mm,31.800 mm,20.100 mm,516000000.000 mm⁴,166000000.000 mm⁴
W18X97,22,153,153,W460X144,18400.000 mm²,472.000 mm,144.0,199.0,67.3,3080000.000 mm³,592000.000 mm³,282.000 mm,22.100 mm,13.600 mm,728000000.000 mm⁴,83700000.000 mm⁴
W14X120,23,197,197,W360X179,22800.000 mm²,368.000 mm,179.0,158.0,95.0,3110000.000 mm³,1110000.000 mm³,373.000 mm,23.900 mm,15.000 mm,574000000.000 mm⁴,206000000.000 mm⁴
W21X93,24,131,131,W530X138,17600.000 mm²,549.000 mm,138.0,221.0,46.7,3150000.000 mm³,362000.000 mm³,214.000 mm,23.600 mm,14.700 mm,862000000.000 mm⁴,38700000.000 mm⁴
W24X84,25,115,115,W610X125,15900.000 mm²,612.000 mm,125.0,249.0,49.5,3210000.000 mm³,342000.000 mm³,229.000 mm,19.600 mm,11.900 mm,986000000.000 mm⁴,39300000.000 mm⁴
W18X106,26,152,152,W460X158,20100.000 mm²,475.000 mm,158.0,199.0,67.6,3340000.000 mm³,646000.000 mm³,284.000 mm,23.900 mm,15.000 mm,795000000.000 mm⁴,91600000.000 mm⁴
W14X132,27,196,196,W360X196,25000.000 mm²,373.000 mm,196.0,160.0,95.5,3420000.000 mm³,1220000.000 mm³,373.000 mm,26.200 mm,16.400 mm,637000000.000 mm⁴,228000000.000 mm⁴
W12X152,28,221,221,W310X226,28800.000 mm²,348.000 mm,226.0,144.0,81.0,3420000.000 mm³,1190000.000 mm³,318.000 mm,35.600 mm,22.100 mm,595000000.000 mm⁴,189000000.000 mm⁴
W27X84,29,98,98,W690X125,15900.000 mm²,678.000 mm,125.0,272.0,52.6,3490000.000 mm³,347000.000 mm³,254.000 mm,16.300 mm,11.700 mm,1190000000.000 mm⁴,44100000.000 mm⁴
W24X94,30,114,114,W610X140,17900.000 mm²,617.000 mm,140.0,251.0,50.3,3640000.000 mm³,393000.000 mm³,230.000 mm,22.200 mm,13.100 mm,1120000000.000 mm⁴,45400000.000 mm⁴
W21X101,31,130,130,W530X150,19200.000 mm²,544.000 mm,150.0,229.0,73.4,3720000.000 mm³,660000.000 mm³,312.000 mm,20.300 mm,12.700 mm,1010000000.000 mm⁴,103000000.000 mm⁴
W18X119,32,151,151,W460X177,22600.000 mm²,483.000 mm,177.0,201.0,68.3,3790000.000 mm³,736000.000 mm³,287.000 mm,26.900 mm,16.600 mm,912000000.000 mm⁴,105000000.000 mm⁴
W14X145,33,195,195,W360X216,27500.000 mm²,376.000 mm,216.0,161.0,101.0,3800000.000 mm³,1430000.000 mm³,394.000 mm,27.700 mm,17.300 mm,712000000.000 mm⁴,282000000.000 mm⁴
W12X170,34,220,220,W310X253,32300.000 mm²,356.000 mm,253.0,146.0,81.8,3850000.000 mm³,1350000.000 mm³,320.000 mm,39.600 mm,24.400 mm,687000000.000 mm⁴,215000000.000 mm⁴
W27X94,35,97,97,W690X140,17800.000 mm²,683.000 mm,140.0,277.0,53.8,3980000.000 mm³,406000.000 mm³,254.000 mm,18.900 mm,12.400 mm,1360000000.000 mm⁴,51600000.000 mm⁴
W30X90,36,81,81,W760X134,17000.000 mm²,749.000 mm,134.0,297.0,53.1,4010000.000 mm³,362000.000 mm³,264.000 mm,15.500 mm,11.900 mm,1500000000.000 mm⁴,47900000.000 mm⁴
W24X103,37,113,113,W610X153,19500.000 mm²,622.000 mm,153.0,254.0,50.5,4010000.000 mm³,434000.000 mm³,229.000 mm,24.900 mm,14.000 mm,1250000000.000 mm⁴,49500000.000 mm⁴
W21X111,38,129,129,W530X165,21000.000 mm²,546.000 mm,165.0,230.0,73.7,4080000.000 mm³,729000.000 mm³,312.000 mm,22.200 mm,14.000 mm,1110000000.000 mm⁴,114000000.000 mm⁴
W14X159,39,194,194,W360X237,30100.000 mm²,381.000 mm,237.0,162.0,102.0,4160000.000 mm³,1580000.000 mm³,396.000 mm,30.200 mm,18.900 mm,791000000.000 mm⁴,311000000.000 mm⁴
W18X130,40,150,150,W460X193,24700.000 mm²,490.000 mm,193.0,204.0,68.6,4200000.000 mm³,818000.000 mm³,284.000 mm,30.500 mm,17.000 mm,1020000000.000 mm⁴,116000000.000 mm⁴
W24X104,41,112,112,W610X155,19800.000 mm²,612.000 mm,155.0,257.0,73.9,4230000.000 mm³,667000.000 mm³,325.000 mm,19.100 mm,12.700 mm,1290000000.000 mm⁴,108000000.000 mm⁴
W12X190,42,219,219,W310X283,36100.000 mm²,366.000 mm,283.0,148.0,82.6,4310000.000 mm³,1520000.000 mm³,323.000 mm,44.200 mm,26.900 mm,787000000.000 mm⁴,245000000.000 mm⁴
W27X102,43,96,96,W690X152,19400.000 mm²,688.000 mm,152.0,279.0,54.6,4380000.000 mm³,456000.000 mm³,254.000 mm,21.100 mm,13.100 mm,1510000000.000 mm⁴,57900000.000 mm⁴
W30X99,44,80,80,W760X147,18700.000 mm²,754.000 mm,147.0,297.0,53.3,4410000.000 mm³,401000.000 mm³,267.000 mm,17.000 mm,13.200 mm,1660000000.000 mm⁴,53300000.000 mm⁴
