,level_0,index,AISC_Manual_Label.1,AISC_Manual_Label,A.1,d.1,W.1,rx.1,ry.1,Sx.1,Sy.1,bf.1,tf.1,tw.1,Ix.1,Iy.1
0,0,0,W1100X499,W44X335,63500,1120,499.0,452.0,88.6,23100.0,2460.0,404,45,26.2,12900.0,499.0
1,1,1,W1100X433,W44X290,55100,1110,433.0,452.0,88.6,20300.0,2160.0,401,40.1,22,11200.0,433.0
2,2,2,W1100X390,W44X262,49800,1100,390.0,450.0,88.1,18200.0,1920.0,401,36.1,19.9,10000.0,384.0
3,3,3,W1100X343,W44X230,43700,1090,343.0,445.0,87.1,15900.0,1660.0,401,31,18,8660.0,331.0
4,4,4,W1000X976,W40X655,125000,1110,975.0,434.0,98.0,42500.0,5570.0,429,89.9,50,23500.0,1190.0
5,5,5,W1000X883,W40X593,112000,1090,883.0,432.0,96.5,38300.0,4950.0,424,82,45.5,21000.0,1050.0
6,6,6,W1000X748,W40X503,95500,1070,748.0,427.0,94.5,32400.0,4080.0,417,70.1,39.1,17300.0,849.0
7,7,7,W1000X642,W40X431,81900,1050,642.0,422.0,92.7,27700.0,3410.0,411,59.9,34,14500.0,703.0
8,8,8,W1000X591,W40X397,75500,1040,591.0,422.0,92.5,25600.0,3130.0,409,55.9,31,13300.0,641.0
9,9,9,W1000X554,W40X372,71000,1030,554.0,419.0,91.4,23900.0,2900.0,409,52.1,29.5,12300.0,591.0
10,10,10,W1000X539,W40X362,68400,1030,539.0,419.0,91.4,23300.0,2830.0,406,51.1,28.4,12000.0,574.0
11,11,11,W1000X483,W40X324,61500,1020,483.0,417.0,90.9,21000.0,2510.0,404,46,25.4,10700.0,508.0
12,12,12,W1000X443,W40X297,56300,1010,443.0,414.0,89.9,19200.0,2260.0,401,41.9,23.6,9660.0,454.0
13,13,13,W1000X412,W40X277,52600,1010,412.0,417.0,90.9,18000.0,2160.0,401,40.1,21.1,9120.0,433.0
14,14,14,W1000X371,W40X249,47400,1000,371.0,414.0,90.2,16300.0,1930.0,401,36.1,19.1,8160.0,385.0
15,15,15,W1000X321,W40X215,41000,991,321.0,411.0,89.9,14100.0,1660.0,401,31,16.5,6950.0,334.0
16,16,16,W1000X296,W40X199,37900,983,296.0,406.0,87.6,12600.0,1450.0,401,27.2,16.5,6200.0,289.0
17,17,17,W1000X584,W40X392,74800,1060,584.0,409.0,67.1,23600.0,2130.0,315,64,36.1,12400.0,334.0
18,18,18,W1000X494,W40X331,63000,1040,494.0,404.0,65.3,19800.0,1740.0,310,54.1,31,10300.0,268.0
19,19,19,W1000X486,W40X327,61900,1040,486.0,406.0,65.5,19700.0,1720.0,307,54.1,30,10200.0,266.0
20,20,20,W1000X438,W40X294,55600,1030,438.0,404.0,64.8,17700.0,1530.0,305,49,26.9,9120.0,234.0
21,21,21,W1000X415,W40X278,53100,1020,415.0,401.0,64.0,16700.0,1430.0,305,46,26.2,8530.0,217.0
22,22,22,W1000X393,W40X264,49900,1020,393.0,401.0,64.0,15900.0,1350.0,302,43.9,24.4,8070.0,205.0
23,23,23,W1000X350,W40X235,44600,1010,350.0,404.0,64.5,14300.0,1220.0,302,40.1,21.1,7240.0,185.0
24,24,24,W1000X314,W40X211,40100,1000,314.0,401.0,63.8,12900.0,1080.0,300,36.1,19.1,6450.0,162.0
25,25,25,W1000X272,W40X183,34400,991,272.0,399.0,63.2,11100.0,918.0,300,30.5,16.5,5490.0,138.0
26,26,26,W1000X249,W40X167,31800,980,249.0,389.0,61.0,9830.0,785.0,300,26.2,16.5,4830.0,118.0
27,27,27,W1000X222,W40X149,28300,970,222.0,381.0,58.2,8410.0,636.0,300,21.1,16,4080.0,95.3
28,28,28,W920X1377,W36X925,175000,1090,1380.0,417.0,108.0,55600.0,8700.0,472,115,76.7,30400.0,2060.0
29,29,29,W920X1269,W36X853,162000,1090,1270.0,424.0,109.0,53300.0,8280.0,462,115,64,29100.0,1910.0
30,30,30,W920X1194,W36X802,152000,1080,1190.0,422.0,107.0,49800.0,7670.0,457,109,60.5,27000.0,1750.0
31,31,31,W920X1077,W36X723,137000,1060,1080.0,417.0,106.0,44900.0,6820.0,452,99.1,55.1,23800.0,1540.0
32,32,32,W920X970,W36X652,124000,1040,970.0,411.0,104.0,40300.0,6010.0,447,89.9,50,21100.0,1340.0
33,33,33,W920X787,W36X529,101000,1010,787.0,406.0,102.0,32600.0,4740.0,437,73.9,40.9,16500.0,1040.0
34,34,34,W920X725,W36X487,92300,998,725.0,401.0,101.0,30000.0,4310.0,434,68.1,38.1,15000.0,937.0
35,35,35,W920X656,W36X441,83900,988,656.0,399.0,99.6,27000.0,3850.0,432,62,34.5,13400.0,828.0
36,36,36,W920X588,W36X395,74800,975,588.0,399.0,98.6,24400.0,3410.0,427,55.9,31,11900.0,728.0
37,37,37,W920X537,W36X361,68400,965,537.0,396.0,97.8,22100.0,3080.0,424,51.1,28.4,10700.0,653.0
38,38,38,W920X491,W36X330,62500,958,491.0,394.0,97.3,20300.0,2800.0,422,47,25.9,9700.0,591.0
39,39,39,W920X449,W36X302,57400,947,449.0,391.0,97.0,18500.0,2560.0,424,42.7,24,8780.0,541.0
40,40,40,W920X420,W36X282,53500,942,420.0,391.0,96.5,17200.0,2360.0,422,39.9,22.5,8160.0,499.0
